employee_id,full_name,department,manager_id,hire_date,termination_date,is_active,headcount_date,domain
ECO-0001,Employee_1,Marketing,ECO-0006,2021-06-14,,True,2026-06-02,ecommerce
ECO-0002,Employee_2,HR,ECO-0003,2025-05-05,,True,2026-06-02,ecommerce
ECO-0003,Employee_3,Marketing,ECO-0008,2020-07-21,,True,2026-06-02,ecommerce
ECO-0004,Employee_4,Sales,ECO-0010,2022-09-09,,True,2026-06-02,ecommerce
ECO-0005,Employee_5,Operations,ECO-0007,2024-11-27,,True,2026-06-02,ecommerce
ECO-0006,Employee_6,HR,ECO-0006,2024-07-12,,True,2026-06-02,ecommerce
ECO-0007,Employee_7,Operations,ECO-0001,2020-11-11,,True,2026-06-02,ecommerce
ECO-0008,Employee_8,HR,ECO-0010,2022-02-27,,True,2026-06-02,ecommerce
ECO-0009,Employee_9,Sales,ECO-0002,2023-03-28,,True,2026-06-02,ecommerce
ECO-0010,Employee_10,Sales,ECO-0010,2020-04-12,,True,2026-06-02,ecommerce
ECO-0011,Employee_11,Finance,ECO-0002,2023-07-09,,True,2026-06-02,ecommerce
ECO-0012,Employee_12,Operations,ECO-0006,2023-05-11,,True,2026-06-02,ecommerce
ECO-0013,Employee_13,Engineering,ECO-0008,2021-05-30,,True,2026-06-02,ecommerce
ECO-0014,Employee_14,Sales,ECO-0002,2025-12-25,,True,2026-06-02,ecommerce
ECO-0015,Employee_15,Finance,ECO-0005,2020-03-13,,True,2026-06-02,ecommerce
ECO-0016,Employee_16,Sales,ECO-0010,2022-04-24,,True,2026-06-02,ecommerce
ECO-0017,Employee_17,HR,ECO-0003,2023-01-13,,True,2026-06-02,ecommerce
ECO-0018,Employee_18,Sales,ECO-0003,2022-06-29,,True,2026-06-02,ecommerce
ECO-0019,Employee_19,Marketing,ECO-0010,2023-03-29,,True,2026-06-02,ecommerce
ECO-0020,Employee_20,Finance,ECO-0006,2020-05-06,,True,2026-06-02,ecommerce
ECO-0021,Employee_21,Marketing,ECO-0005,2021-02-01,,True,2026-06-02,ecommerce
ECO-0022,Employee_22,Engineering,ECO-0002,2024-02-06,,True,2026-06-02,ecommerce
ECO-0023,Employee_23,Finance,ECO-0003,2020-06-10,,True,2026-06-02,ecommerce
ECO-0024,Employee_24,Engineering,ECO-0006,2024-04-25,,True,2026-06-02,ecommerce
ECO-0025,Employee_25,Sales,ECO-0009,2020-11-28,,True,2026-06-02,ecommerce
ECO-0026,Employee_26,Engineering,ECO-0009,2024-01-07,,True,2026-06-02,ecommerce
ECO-0027,Employee_27,Sales,ECO-0010,2020-12-05,,True,2026-06-02,ecommerce
ECO-0028,Employee_28,Engineering,ECO-0009,2021-01-23,,True,2026-06-02,ecommerce
ECO-0029,Employee_29,Finance,ECO-0010,2022-02-09,,True,2026-06-02,ecommerce
ECO-0030,Employee_30,Finance,ECO-0010,2021-03-09,,True,2026-06-02,ecommerce
ECO-0031,Employee_31,Sales,ECO-0009,2020-08-24,,True,2026-06-02,ecommerce
ECO-0032,Employee_32,Finance,ECO-0003,2022-09-25,,True,2026-06-02,ecommerce
ECO-0033,Employee_33,Marketing,ECO-0006,2022-10-20,,True,2026-06-02,ecommerce
ECO-0034,Employee_34,Engineering,ECO-0006,2020-12-08,,True,2026-06-02,ecommerce
ECO-0035,Employee_35,Sales,ECO-0009,2024-01-14,,True,2026-06-02,ecommerce
ECO-0036,Employee_36,Sales,ECO-0005,2025-09-15,,True,2026-06-02,ecommerce
ECO-0037,Employee_37,Sales,ECO-0008,2020-03-20,,True,2026-06-02,ecommerce
ECO-0038,Employee_38,Marketing,ECO-0005,2020-06-11,,True,2026-06-02,ecommerce
ECO-0039,Employee_39,HR,ECO-0007,2023-04-01,,True,2026-06-02,ecommerce
ECO-0040,Employee_40,Sales,ECO-0009,2021-06-01,,True,2026-06-02,ecommerce
ECO-0041,Employee_41,HR,ECO-0005,2024-09-03,,True,2026-06-02,ecommerce
ECO-0042,Employee_42,HR,ECO-0006,2024-11-02,,True,2026-06-02,ecommerce
ECO-0043,Employee_43,Operations,ECO-0005,2022-08-10,,True,2026-06-02,ecommerce
ECO-0044,Employee_44,Engineering,ECO-0008,2020-07-29,,True,2026-06-02,ecommerce
ECO-0045,Employee_45,Finance,ECO-0004,2020-12-26,,True,2026-06-02,ecommerce
ECO-0046,Employee_46,Marketing,ECO-0007,2020-02-24,,True,2026-06-02,ecommerce
ECO-0047,Employee_47,Finance,ECO-0002,2021-07-09,,True,2026-06-02,ecommerce
ECO-0048,Employee_48,Engineering,ECO-0010,2023-02-27,,True,2026-06-02,ecommerce
ECO-0049,Employee_49,Marketing,ECO-0010,2022-04-16,,True,2026-06-02,ecommerce
ECO-0050,Employee_50,Marketing,ECO-0003,2023-01-31,,True,2026-06-02,ecommerce
