employee_id,full_name,department,manager_id,hire_date,termination_date,is_active,headcount_date,domain
FIN-0001,Employee_1,Marketing,FIN-0009,2025-08-21,,True,2026-06-02,fintech
FIN-0002,Employee_2,Operations,FIN-0009,2021-05-25,,True,2026-06-02,fintech
FIN-0003,Employee_3,Finance,FIN-0007,2023-01-08,,True,2026-06-02,fintech
FIN-0004,Employee_4,Marketing,FIN-0005,2020-07-20,,True,2026-06-02,fintech
FIN-0005,Employee_5,Sales,FIN-0009,2020-04-22,,True,2026-06-02,fintech
FIN-0006,Employee_6,HR,FIN-0001,2024-03-08,,True,2026-06-02,fintech
FIN-0007,Employee_7,Sales,FIN-0005,2020-10-18,,True,2026-06-02,fintech
FIN-0008,Employee_8,Finance,FIN-0002,2021-01-18,,True,2026-06-02,fintech
FIN-0009,Employee_9,Operations,FIN-0010,2020-11-16,,True,2026-06-02,fintech
FIN-0010,Employee_10,HR,FIN-0004,2020-07-30,,True,2026-06-02,fintech
FIN-0011,Employee_11,HR,FIN-0002,2020-07-20,,True,2026-06-02,fintech
FIN-0012,Employee_12,Marketing,FIN-0002,2022-11-19,,True,2026-06-02,fintech
FIN-0013,Employee_13,Finance,FIN-0005,2020-02-08,,True,2026-06-02,fintech
FIN-0014,Employee_14,Engineering,FIN-0002,2025-01-14,,True,2026-06-02,fintech
FIN-0015,Employee_15,Engineering,FIN-0005,2021-02-28,,True,2026-06-02,fintech
FIN-0016,Employee_16,Marketing,FIN-0004,2020-04-17,,True,2026-06-02,fintech
FIN-0017,Employee_17,Sales,FIN-0008,2022-04-27,,True,2026-06-02,fintech
FIN-0018,Employee_18,Operations,FIN-0005,2020-01-30,,True,2026-06-02,fintech
FIN-0019,Employee_19,Finance,FIN-0010,2023-03-02,,True,2026-06-02,fintech
FIN-0020,Employee_20,HR,FIN-0005,2020-02-27,,True,2026-06-02,fintech
FIN-0021,Employee_21,Sales,FIN-0003,2023-07-13,,True,2026-06-02,fintech
FIN-0022,Employee_22,Finance,FIN-0007,2024-04-05,,True,2026-06-02,fintech
FIN-0023,Employee_23,Marketing,FIN-0006,2022-11-16,,True,2026-06-02,fintech
FIN-0024,Employee_24,Engineering,FIN-0004,2020-08-08,,True,2026-06-02,fintech
FIN-0025,Employee_25,Marketing,FIN-0010,2022-04-12,,True,2026-06-02,fintech
FIN-0026,Employee_26,HR,FIN-0005,2021-11-01,,True,2026-06-02,fintech
FIN-0027,Employee_27,Operations,FIN-0007,2022-12-15,,True,2026-06-02,fintech
FIN-0028,Employee_28,Marketing,FIN-0006,2020-02-24,,True,2026-06-02,fintech
FIN-0029,Employee_29,Sales,FIN-0010,2024-04-27,,True,2026-06-02,fintech
FIN-0030,Employee_30,Engineering,FIN-0005,2024-03-30,,True,2026-06-02,fintech
FIN-0031,Employee_31,HR,FIN-0009,2023-05-01,,True,2026-06-02,fintech
FIN-0032,Employee_32,Sales,FIN-0010,2020-10-23,,True,2026-06-02,fintech
FIN-0033,Employee_33,Engineering,FIN-0007,2023-05-08,,True,2026-06-02,fintech
FIN-0034,Employee_34,HR,FIN-0007,2024-01-26,,True,2026-06-02,fintech
FIN-0035,Employee_35,Marketing,FIN-0007,2021-02-19,,True,2026-06-02,fintech
FIN-0036,Employee_36,Finance,FIN-0006,2020-04-23,,True,2026-06-02,fintech
FIN-0037,Employee_37,Engineering,FIN-0002,2025-11-10,,True,2026-06-02,fintech
FIN-0038,Employee_38,Marketing,FIN-0001,2021-11-20,,True,2026-06-02,fintech
FIN-0039,Employee_39,Marketing,FIN-0008,2021-09-03,,True,2026-06-02,fintech
FIN-0040,Employee_40,HR,FIN-0009,2021-12-02,,True,2026-06-02,fintech
FIN-0041,Employee_41,HR,FIN-0007,2020-01-03,,True,2026-06-02,fintech
FIN-0042,Employee_42,Operations,FIN-0007,2023-07-22,,True,2026-06-02,fintech
FIN-0043,Employee_43,Operations,FIN-0001,2022-04-21,,True,2026-06-02,fintech
FIN-0044,Employee_44,Operations,FIN-0006,2020-09-13,,True,2026-06-02,fintech
FIN-0045,Employee_45,HR,FIN-0004,2023-07-04,,True,2026-06-02,fintech
FIN-0046,Employee_46,Sales,FIN-0006,2022-08-19,,True,2026-06-02,fintech
FIN-0047,Employee_47,HR,FIN-0010,2021-04-18,,True,2026-06-02,fintech
FIN-0048,Employee_48,Finance,FIN-0006,2021-10-03,,True,2026-06-02,fintech
FIN-0049,Employee_49,Marketing,FIN-0004,2025-09-27,,True,2026-06-02,fintech
FIN-0050,Employee_50,Finance,FIN-0005,2024-06-15,,True,2026-06-02,fintech
