employee_id,employee_name,department,job_band,location,employment_type,base_salary,bonus_amount,equity_value,effective_date,currency,domain
HEA-0001,Employee_1,Marketing,L4,New York,Part-Time,128388,24552,13592,2025-01-12,USD,healthcare
HEA-0002,Employee_2,Engineering,L4,New York,Contract,135240,23452,54170,2025-01-19,USD,healthcare
HEA-0003,Employee_3,Marketing,L1,Austin,Part-Time,55462,8868,22987,2024-04-08,USD,healthcare
HEA-0004,Employee_4,Operations,L6,San Francisco,Part-Time,198299,19750,97845,2024-02-11,USD,healthcare
HEA-0005,Employee_5,Engineering,L1,San Francisco,Part-Time,72083,6288,20977,2024-12-05,USD,healthcare
HEA-0006,Employee_6,Engineering,L3,Remote,Part-Time,108453,11729,3286,2023-04-18,USD,healthcare
HEA-0007,Employee_7,Marketing,L6,Chicago,Contract,197916,36296,78420,2024-05-24,USD,healthcare
HEA-0008,Employee_8,Finance,L2,Chicago,Part-Time,94309,6418,31727,2023-04-23,USD,healthcare
HEA-0009,Employee_9,Operations,L2,San Francisco,Part-Time,91849,12652,38416,2024-12-30,USD,healthcare
HEA-0010,Employee_10,Marketing,L1,Austin,Full-Time,57367,6099,16266,2025-04-12,USD,healthcare
HEA-0011,Employee_11,Finance,L6,Remote,Full-Time,196016,14519,90418,2024-11-01,USD,healthcare
HEA-0012,Employee_12,Sales,L3,Austin,Contract,100921,6741,39340,2024-12-16,USD,healthcare
HEA-0013,Employee_13,Operations,L3,Chicago,Contract,108954,15544,10338,2023-03-03,USD,healthcare
HEA-0014,Employee_14,Finance,L4,Chicago,Contract,135500,11238,56778,2024-06-22,USD,healthcare
HEA-0015,Employee_15,Finance,L4,Remote,Part-Time,132808,9772,49281,2025-06-26,USD,healthcare
HEA-0016,Employee_16,Engineering,L4,Chicago,Contract,141097,7147,48717,2023-11-24,USD,healthcare
HEA-0017,Employee_17,Marketing,L6,New York,Contract,213161,24144,65452,2024-05-08,USD,healthcare
HEA-0018,Employee_18,Finance,L3,New York,Part-Time,101243,17197,18201,2025-01-19,USD,healthcare
HEA-0019,Employee_19,Operations,L6,San Francisco,Part-Time,201466,37881,18721,2024-08-29,USD,healthcare
HEA-0020,Employee_20,Operations,L5,Austin,Part-Time,162951,27238,22902,2025-12-25,USD,healthcare
HEA-0021,Employee_21,Marketing,L4,Chicago,Contract,128292,11653,16604,2025-03-13,USD,healthcare
HEA-0022,Employee_22,HR,L2,New York,Full-Time,76000,11966,25832,2023-12-06,USD,healthcare
HEA-0023,Employee_23,HR,L2,Chicago,Full-Time,92287,8777,30573,2025-07-27,USD,healthcare
HEA-0024,Employee_24,Sales,L4,San Francisco,Full-Time,143736,7831,30951,2025-11-03,USD,healthcare
HEA-0025,Employee_25,Operations,L5,New York,Contract,159105,12997,34605,2023-07-29,USD,healthcare
HEA-0026,Employee_26,HR,L2,New York,Contract,93330,13664,10955,2024-09-24,USD,healthcare
HEA-0027,Employee_27,Operations,L3,New York,Part-Time,102074,14894,31149,2025-09-17,USD,healthcare
HEA-0028,Employee_28,Marketing,L3,Austin,Contract,111650,12436,3339,2025-07-08,USD,healthcare
HEA-0029,Employee_29,HR,L6,Chicago,Contract,213870,20520,48607,2025-03-21,USD,healthcare
HEA-0030,Employee_30,Operations,L5,New York,Full-Time,159391,30723,53732,2023-10-16,USD,healthcare
HEA-0031,Employee_31,Finance,L2,Chicago,Full-Time,78342,7754,37585,2024-10-13,USD,healthcare
HEA-0032,Employee_32,HR,L4,Chicago,Part-Time,132548,13744,6326,2023-04-16,USD,healthcare
HEA-0033,Employee_33,Engineering,L3,New York,Contract,107496,7037,7601,2025-12-28,USD,healthcare
HEA-0034,Employee_34,Finance,L1,Austin,Part-Time,58941,8700,10436,2023-11-01,USD,healthcare
HEA-0035,Employee_35,Engineering,L1,Chicago,Part-Time,66103,8621,26366,2025-06-03,USD,healthcare
HEA-0036,Employee_36,Sales,L2,Chicago,Part-Time,92973,12419,12222,2025-03-12,USD,healthcare
HEA-0037,Employee_37,Finance,L1,San Francisco,Part-Time,73499,11852,6119,2025-08-10,USD,healthcare
HEA-0038,Employee_38,Operations,L4,Remote,Part-Time,126338,9135,1608,2025-10-12,USD,healthcare
HEA-0039,Employee_39,HR,L5,San Francisco,Part-Time,163491,24004,5263,2024-05-04,USD,healthcare
HEA-0040,Employee_40,Marketing,L6,New York,Contract,212318,34920,45317,2024-04-13,USD,healthcare
HEA-0041,Employee_41,Sales,L3,New York,Part-Time,111654,8988,33004,2023-10-19,USD,healthcare
HEA-0042,Employee_42,Operations,L4,Chicago,Part-Time,137795,14501,25698,2025-06-13,USD,healthcare
HEA-0043,Employee_43,Finance,L6,Remote,Contract,201224,19339,25520,2024-09-10,USD,healthcare
HEA-0044,Employee_44,Operations,L6,Austin,Contract,214994,35583,13933,2023-02-23,USD,healthcare
HEA-0045,Employee_45,Operations,L6,Remote,Part-Time,210480,35665,44557,2024-07-07,USD,healthcare
HEA-0046,Employee_46,Operations,L1,San Francisco,Full-Time,71344,9815,10065,2024-03-28,USD,healthcare
HEA-0047,Employee_47,Engineering,L2,New York,Part-Time,77448,12732,14617,2023-10-17,USD,healthcare
HEA-0048,Employee_48,Operations,L4,Remote,Contract,134715,8367,55464,2025-02-03,USD,healthcare
HEA-0049,Employee_49,Engineering,L3,Chicago,Full-Time,101102,17806,30289,2023-04-14,USD,healthcare
HEA-0050,Employee_50,Sales,L6,Austin,Full-Time,213401,18281,19608,2025-04-21,USD,healthcare
