employee_id,full_name,department,manager_id,hire_date,termination_date,is_active,headcount_date,domain
HEA-0001,Employee_1,Finance,HEA-0001,2023-01-25,,True,2026-06-02,healthcare
HEA-0002,Employee_2,Operations,HEA-0003,2024-10-14,,True,2026-06-02,healthcare
HEA-0003,Employee_3,Marketing,HEA-0001,2024-04-23,,True,2026-06-02,healthcare
HEA-0004,Employee_4,Marketing,HEA-0008,2021-07-22,,True,2026-06-02,healthcare
HEA-0005,Employee_5,Finance,HEA-0002,2021-02-12,,True,2026-06-02,healthcare
HEA-0006,Employee_6,Operations,HEA-0004,2023-09-14,,True,2026-06-02,healthcare
HEA-0007,Employee_7,Operations,HEA-0001,2025-11-22,,True,2026-06-02,healthcare
HEA-0008,Employee_8,Finance,HEA-0006,2023-03-03,,True,2026-06-02,healthcare
HEA-0009,Employee_9,Marketing,HEA-0001,2021-07-24,,True,2026-06-02,healthcare
HEA-0010,Employee_10,Sales,HEA-0007,2022-01-06,,True,2026-06-02,healthcare
HEA-0011,Employee_11,Finance,HEA-0002,2024-03-18,,True,2026-06-02,healthcare
HEA-0012,Employee_12,Engineering,HEA-0002,2020-07-16,,True,2026-06-02,healthcare
HEA-0013,Employee_13,Marketing,HEA-0006,2022-10-24,,True,2026-06-02,healthcare
HEA-0014,Employee_14,Finance,HEA-0008,2022-03-31,,True,2026-06-02,healthcare
HEA-0015,Employee_15,Marketing,HEA-0006,2021-08-23,,True,2026-06-02,healthcare
HEA-0016,Employee_16,Marketing,HEA-0006,2022-10-09,,True,2026-06-02,healthcare
HEA-0017,Employee_17,HR,HEA-0009,2025-08-03,,True,2026-06-02,healthcare
HEA-0018,Employee_18,HR,HEA-0003,2023-10-06,,True,2026-06-02,healthcare
HEA-0019,Employee_19,Engineering,HEA-0009,2023-06-25,,True,2026-06-02,healthcare
HEA-0020,Employee_20,Engineering,HEA-0003,2023-01-04,,True,2026-06-02,healthcare
HEA-0021,Employee_21,Marketing,HEA-0004,2020-01-11,,True,2026-06-02,healthcare
HEA-0022,Employee_22,Sales,HEA-0010,2025-12-22,,True,2026-06-02,healthcare
HEA-0023,Employee_23,HR,HEA-0002,2020-08-13,,True,2026-06-02,healthcare
HEA-0024,Employee_24,Sales,HEA-0001,2022-05-05,,True,2026-06-02,healthcare
HEA-0025,Employee_25,HR,HEA-0004,2020-08-15,,True,2026-06-02,healthcare
HEA-0026,Employee_26,HR,HEA-0009,2020-11-12,,True,2026-06-02,healthcare
HEA-0027,Employee_27,HR,HEA-0010,2025-10-08,,True,2026-06-02,healthcare
HEA-0028,Employee_28,Operations,HEA-0001,2025-02-17,,True,2026-06-02,healthcare
HEA-0029,Employee_29,Marketing,HEA-0002,2021-01-13,,True,2026-06-02,healthcare
HEA-0030,Employee_30,HR,HEA-0005,2025-03-26,,True,2026-06-02,healthcare
HEA-0031,Employee_31,Engineering,HEA-0003,2021-09-23,,True,2026-06-02,healthcare
HEA-0032,Employee_32,Marketing,HEA-0004,2025-07-08,,True,2026-06-02,healthcare
HEA-0033,Employee_33,Sales,HEA-0010,2022-01-18,,True,2026-06-02,healthcare
HEA-0034,Employee_34,HR,HEA-0008,2023-07-18,,True,2026-06-02,healthcare
HEA-0035,Employee_35,Operations,HEA-0006,2024-09-29,,True,2026-06-02,healthcare
HEA-0036,Employee_36,Engineering,HEA-0003,2025-03-28,,True,2026-06-02,healthcare
HEA-0037,Employee_37,Finance,HEA-0002,2020-05-25,,True,2026-06-02,healthcare
HEA-0038,Employee_38,Operations,HEA-0009,2025-02-27,,True,2026-06-02,healthcare
HEA-0039,Employee_39,HR,HEA-0007,2025-11-03,,True,2026-06-02,healthcare
HEA-0040,Employee_40,Operations,HEA-0007,2023-07-07,,True,2026-06-02,healthcare
HEA-0041,Employee_41,Engineering,HEA-0010,2022-11-16,,True,2026-06-02,healthcare
HEA-0042,Employee_42,Sales,HEA-0010,2020-08-17,,True,2026-06-02,healthcare
HEA-0043,Employee_43,HR,HEA-0001,2022-03-04,,True,2026-06-02,healthcare
HEA-0044,Employee_44,Engineering,HEA-0006,2024-01-21,,True,2026-06-02,healthcare
HEA-0045,Employee_45,Finance,HEA-0004,2024-02-08,,True,2026-06-02,healthcare
HEA-0046,Employee_46,Operations,HEA-0006,2024-02-21,,True,2026-06-02,healthcare
HEA-0047,Employee_47,HR,HEA-0001,2022-08-12,,True,2026-06-02,healthcare
HEA-0048,Employee_48,Finance,HEA-0010,2020-11-12,,True,2026-06-02,healthcare
HEA-0049,Employee_49,Finance,HEA-0005,2023-04-22,,True,2026-06-02,healthcare
HEA-0050,Employee_50,Finance,HEA-0008,2024-05-13,,True,2026-06-02,healthcare
